UnitID,Institution Name,Tuition and fees (F9798_F3),Imputation/Status Flag For Tuition and fees (F9798_F3),Federal appropriations  grants and contracts (F9798_F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F9798_F3),State and local appropriations  grants and contracts (F9798_F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F9798_F3),Private grants and contracts (F9798_F3),Imputation/Status Flag For Private grants and contracts (F9798_F3),Investment income and investment gains (losses) included in net income (F9798_F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F9798_F3),Sales and services of educational activities (F9798_F3),Imputation/Status Flag For Sales and services of educational activities (F9798_F3),Sales and services of auxiliary enterprises (F9798_F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F9798_F3),Other revenue (F9798_F3),Imputation/Status Flag For Other revenue (F9798_F3),Total revenues and investment return (F9798_F3),Imputation/Status Flag For Total revenues and investment return (F9798_F3)
172866,Academy College,2456953,R,0,R,0,R,0,R,0,R,0,R,0,R,120258,R,2577211,R
108232,Academy of Art University,47412310,R,2193057,R,1098316,R,0,R,136928,R,0,R,3340530,R,0,R,54181141,R
367264,Academy of Healing Arts,2143295,R,0,R,0,R,0,R,41003,R,0,R,0,R,0,R,2184298,R
134811,AI Miami International University of Art and Design,6792874,R,460747,R,176192,R,0,R,0,R,945593,R,56185,R,159160,R,8590751,R
206747,ALADDIN BEAUTY COLLEGE ADMINISTRATIVE OFFICE,4379577,R,0,R,0,R,0,R,627,R,1732816,R,0,R,90649,R,6203669,R
126401,Altierus Career College-Colorado Springs,2104197,R,0,R,0,R,0,R,0,R,22346,R,0,R,12970,R,2139513,R
137801,Altierus Career College-Tampa,6250284,R,0,R,0,R,0,R,0,R,0,R,407178,R,73440,R,6730902,R
127787,Altierus Career College-Thornton,2223275,R,0,R,0,R,0,R,0,R,0,R,37080,R,5170,R,2265525,R
210766,ALTOONA SCHOOL OF COMMERCE,1829951,N,960032,N,481550,N,0,N,0,N,309644,N,0,N,0,N,3581177,N
142887,American Academy of Art College,4601141,R,168204,R,0,R,0,R,11928,R,0,R,0,R,206205,R,4987478,R
429085,American College of Acupuncture and Oriental Med,404074,R,0,R,0,R,0,R,0,R,125381,R,19685,R,0,R,549140,R
222682,American Commercial College-Lubbock,2204511,N,710630,N,76156,N,0,N,26670,N,0,N,0,N,0,N,3017967,N
138725,American InterContinental University,10603464,R,0,R,0,R,0,R,0,R,0,R,702131,R,80271,R,11385866,R
109013,American InterContinental University,7566715,R,0,R,0,R,0,R,0,R,0,R,327939,R,71762,R,7966416,R
232797,American National University,7255563,R,106035,R,0,R,0,R,81910,R,786505,R,0,R,371581,R,8601594,R
157021,American National University-Pikeville,5190653,R,66554,R,0,R,0,R,132463,R,541606,R,0,R,29419,R,5960695,R
104805,Anthem College-Phoenix,18352925,R,0,R,0,R,0,R,44851,R,0,R,0,R,78954,R,18476730,R
201016,Antonelli College-Cincinnati,156736,N,270599,N,236678,N,0,N,73,N,76161,N,0,N,78,N,740325,N
383950,Antonelli College-Hattiesburg,770905,N,196319,N,0,N,0,N,0,N,91872,N,0,N,50086,N,1109182,N
175528,Antonelli College-Jackson,156736,N,270599,N,236678,N,0,N,73,N,76161,N,0,N,78,N,740325,N
210890,Antonelli Institute,1223597,R,0,R,0,R,0,R,-5441,R,0,R,27906,R,0,R,1246062,R
429094,AOMA Graduate School of Integrative Medicine,369983,R,0,R,0,R,0,R,12640,R,245615,R,0,R,1183,R,629421,R
367936,Argosy University-Atlanta,2664717,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2664717,R
145770,Argosy University-Chicago,6240024,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,6240024,R
366748,Argosy University-Hawaii,1125801,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1125801,R
419457,Argosy University-Northern Virginia,1763925,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1763925,R
137148,Argosy University-Sarasota,4591829,R,0,R,0,R,0,R,540,R,0,R,0,R,448129,R,5040498,R
420866,Argosy University-Schaumburg,2376463,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2376463,R
428268,Argosy University-Tampa,476399,R,0,R,0,R,0,R,0,R,0,R,0,R,433,R,476832,R
410502,Argosy University-The Art Institute of California-Hollywood,3167845,R,0,R,0,R,0,R,0,R,0,R,0,R,13487,R,3181332,R
117113,Argosy University-The Art Institute of California-San Diego,863852,R,1435022,R,108568,R,0,R,0,R,0,R,0,R,97,R,2407539,R
117928,Argosy University-The Art Institute of California-San Francisco,3809803,N,0,N,0,N,0,N,0,N,0,N,0,N,158998,N,3968801,N
173984,Argosy University-Twin Cities,4531000,R,0,R,0,R,0,R,9000,R,0,R,0,R,0,R,4540000,R
408118,ARGOSY UNIVERSITY-TWIN CITIES CAMPUS,978960,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,978960,R
137892,ATI Career Training Center-Fort Lauderdale,2170998,N,0,N,0,N,0,N,0,N,0,N,0,N,99937,N,2270935,N
136747,ATI Career Training Center-Oakland Park,1829951,N,960032,N,481550,N,0,N,0,N,309644,N,0,N,0,N,3581177,N
134875,ATI College of Health,1601070,N,0,N,0,N,0,N,10514,N,0,N,0,N,66081,N,1677665,N
225867,Austin Business College,842976,R,0,R,0,R,0,R,0,R,0,R,0,R,564,R,843540,R
158343,Baton Rouge School of Computers,696171,R,0,R,0,R,0,R,0,R,0,R,0,R,367000,A,1063171,R
139074,Bauder College,4726469,R,3308414,R,20108,R,127058,R,0,R,2655,R,21888,R,0,R,8206592,R
160995,Beal University,1330889,R,0,R,0,R,0,R,4501,R,0,R,40310,R,10739,R,1386439,R
247065,Beckfield College-Florence,1967925,R,0,R,0,R,0,R,3676,R,0,R,0,R,0,R,1971601,R
126359,Bel-Rea Institute of Animal Technology,3025674,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,3025674,R
189246,BERKELEY COLLEGE,4821439,R,0,R,0,R,0,R,18549,R,0,R,1197378,R,50879,R,6088245,R
189228,Berkeley College-New York,12019847,R,0,R,0,R,0,R,45150,R,0,R,722216,R,-199984,R,12587229,R
183789,Berkeley College-Woodland Park,17835483,R,0,R,0,R,0,R,66040,R,0,R,1675774,R,29709,R,19607006,R
363527,Border Institute of Technology,641653,R,550619,R,0,R,0,R,0,R,0,R,0,R,0,R,1192272,R
211200,Bradford School,4277112,R,0,R,0,R,0,R,0,R,0,R,1125228,R,23595,R,5425935,R
202161,Bradford School,1370889,R,0,R,0,R,0,R,0,R,15,R,340500,R,21416,R,1732820,R
189459,Briarcliffe College,8359572,R,1024009,R,1874669,R,718977,R,0,R,0,R,863913,R,145361,R,12986501,R
251075,Brightwood Career Institute-Harrisburg,4097240,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,4097240,R
211617,Brightwood Career Institute-Philadelphia Mills,4016984,R,0,R,0,R,0,R,0,R,0,R,0,R,431024,R,4448008,R
213002,Brightwood Career Institute-Pittsburgh,4773545,R,3130209,R,1244122,R,103730,R,0,R,29529,R,239549,R,0,R,9520684,R
382896,Brightwood College-Dallas,687523,R,0,R,0,R,0,R,0,R,0,R,0,R,11726,R,699249,R
204626,Brightwood College-Dayton,2542978,R,1630236,R,187668,R,7868,R,0,R,1045,R,106790,R,0,R,4476585,R
152415,Brightwood College-Hammond,1149863,R,0,R,0,R,0,R,0,R,60813,R,0,R,2720,R,1213396,R
374875,Brightwood College-Las Vegas,2849007,R,0,R,0,R,0,R,0,R,1226136,R,0,R,0,R,4075143,R
118967,Brightwood College-Los Angeles-Van Nuys,3607730,R,3011296,R,35209,R,102765,R,0,R,4782,R,923,R,0,R,6762705,R
366960,Brightwood College-Modesto,2364340,R,1872698,R,456546,R,0,R,0,R,1650,R,25,R,0,R,4695259,R
246202,Brightwood College-Nashville,589261,R,0,R,0,R,0,R,0,R,0,R,0,R,1390,R,590651,R
118259,Brightwood College-Sacramento,993743,R,769426,R,47150,R,16223,R,0,R,350,R,113,R,0,R,1827005,R
118277,Brightwood College-San Diego,9316750,R,7358175,R,304833,R,208462,R,0,R,4215,R,5801,R,0,R,17198236,R
230056,Broadview College,6276781,N,0,N,0,N,0,N,0,N,0,N,0,N,209924,N,6486705,N
110176,Brooks College,11217541,R,0,R,0,R,0,R,0,R,0,R,2620768,R,0,R,13838309,R
