UnitID,Institution Name,Tuition and fees (F9900F3),Imputation/Status Flag For Tuition and fees (F9900F3),Federal appropriations  grants and contracts (F9900F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F9900F3),State and local appropriations  grants and contracts (F9900F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F9900F3),Private grants and contracts (F9900F3),Imputation/Status Flag For Private grants and contracts (F9900F3),Investment income and investment gains (losses) included in net income (F9900F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F9900F3),Sales and services of educational activities (F9900F3),Imputation/Status Flag For Sales and services of educational activities (F9900F3),Sales and services of auxiliary enterprises (F9900F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F9900F3),Other revenue (F9900F3),Imputation/Status Flag For Other revenue (F9900F3),Total revenues and investment return (F9900F3),Imputation/Status Flag For Total revenues and investment return (F9900F3)
436340,A SPIRITOUCH INSTITUTE INC,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R
208062,A'ARTS COLLEGE OF BEAUTY,271739,R,0,R,0,R,0,R,106,R,112858,R,0,R,3022,R,387725,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,226891,R,73887,R,20000,R,0,R,0,R,4100,R,850,R,0,R,325728,R
419378,A1 Business and Technical College,147096,R,0,R,49334,R,0,R,0,R,3553,R,0,R,1263335,R,1463318,R
161615,Aaron's Academy of Beauty,204225,R,0,R,0,R,0,R,0,R,100095,R,0,R,0,R,304320,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,271649,I,0,I,0,I,0,I,19033,I,18390,I,0,I,-108756,I,200316,I
106281,ABC Beauty College Inc,35600,R,0,R,0,R,0,R,0,R,45220,R,0,R,121656,R,202476,R
421896,Academia Serrant Inc,374782,R,64956,R,2132,R,0,R,0,R,0,R,0,R,238977,R,680847,R
429003,Academia Vocational Del Turabo,470796,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,470796,R
172866,Academy College,2644259,R,217489,R,221897,R,0,R,0,R,0,R,0,R,136070,R,3219715,R
108232,Academy of Art University,50233365,R,2313512,R,1501424,R,0,R,345226,R,2412997,R,2788201,R,0,R,59594725,R
372462,Academy of Cosmetology,90229,R,0,R,0,R,0,R,0,R,88027,R,0,R,0,R,178256,R
409209,Academy of Cosmetology,159958,I,170771,I,30362,I,3000,I,0,I,500,I,0,I,-103000,I,261591,I
179991,Academy of Cosmetology Inc,4500,R,0,R,0,R,0,R,0,R,0,R,0,R,258667,R,263167,R
363457,Academy of Court Reporting-Clawson,1152797,R,0,R,0,R,10782,R,19024,R,0,R,196565,R,3582093,R,4961261,R
261339,ACADEMY OF HAIR DESIGN,56120,I,71417,I,0,I,0,I,0,I,90661,I,0,I,32765,I,250963,I
154633,Academy of Hair Design Inc,314884,I,0,I,0,I,0,I,0,I,55623,I,963,I,11307856,I,11679326,I
175476,Academy of Hair Design Seven,39328,R,0,R,0,R,0,R,0,R,16202,R,0,R,0,R,55530,R
175722,Academy of Hair Design-Grenada,85626,R,0,R,0,R,0,R,0,R,71774,R,0,R,0,R,157400,R
