UnitID,Institution Name,Tuition and fees (F0506_F3_RV),Imputation/Status Flag For Tuition and fees (F0506_F3_RV),Federal appropriations  grants and contracts (F0506_F3_RV),Imputation/Status Flag For Federal appropriations  grants and contracts (F0506_F3_RV),State and local appropriations  grants and contracts (F0506_F3_RV),Imputation/Status Flag For State and local appropriations  grants and contracts (F0506_F3_RV),Private grants and contracts (F0506_F3_RV),Imputation/Status Flag For Private grants and contracts (F0506_F3_RV),Investment income and investment gains (losses) included in net income (F0506_F3_RV),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0506_F3_RV),Sales and services of educational activities (F0506_F3_RV),Imputation/Status Flag For Sales and services of educational activities (F0506_F3_RV),Sales and services of auxiliary enterprises (F0506_F3_RV),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0506_F3_RV),Other revenue (F0506_F3_RV),Imputation/Status Flag For Other revenue (F0506_F3_RV),Total revenues and investment return (F0506_F3_RV),Imputation/Status Flag For Total revenues and investment return (F0506_F3_RV)
448099,4-States Academy of Cosmetology,67851,R,41000,R,0,Z,0,Z,0,Z,29695,R,0,Z,0,R,138546,R
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,432729,R,236012,R,0,R,0,R,0,R,0,R,0,R,0,R,668741,R
161615,Aaron's Academy of Beauty,318425,R,0,R,0,R,0,R,0,R,0,R,125370,R,0,R,443795,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,370149,R,0,R,0,R,0,R,0,R,47192,R,0,R,0,R,417341,R
106281,ABC Beauty College Inc,256263,R,0,R,0,R,0,R,326,R,28247,R,0,R,0,R,284836,R
208123,Abdill Career College Inc,580100,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,580100,R
421896,Academia Serrant Inc,993451,R,0,R,0,R,0,R,0,R,0,R,0,R,113655,R,1107106,R
429003,Academia Vocational Del Turabo,374565,R,0,R,0,R,0,R,0,R,78418,R,0,R,0,R,452983,R
172866,Academy College,2002969,R,274211,R,179241,R,3000,R,223,R,206411,R,67667,R,0,R,2733722,R
442903,Academy Education Services,198716,P,422869,P,0,P,91179,P,0,P,0,P,0,P,623,P,713387,P
108232,Academy of Art University,105664495,R,0,R,0,R,0,R,3884715,R,0,R,7951178,R,0,R,117500388,R
372462,Academy of Cosmetology,111828,R,107673,R,0,Z,0,Z,0,Z,114532,R,0,Z,0,R,334033,R
409209,Academy of Cosmetology,305860,R,0,R,0,R,0,R,216,R,173473,R,0,Z,303922,R,783471,R
442912,Academy of Cosmetology,278288,R,0,R,0,R,0,R,0,R,21751,R,0,R,0,R,300039,R
179991,Academy of Cosmetology Inc,289272,R,0,R,0,R,0,R,1351,R,148422,R,0,R,0,R,439045,R
154633,Academy of Hair Design Inc,244448,R,0,R,0,R,0,R,5168,R,110500,R,0,R,180223,R,540339,R
175722,Academy of Hair Design-Grenada,129861,R,0,R,0,R,0,R,0,R,52889,R,0,R,8742,R,191492,R
