UnitID,Institution Name,Tuition and fees (F0001_F3),Imputation/Status Flag For Tuition and fees (F0001_F3),Federal appropriations  grants and contracts (F0001_F3),Imputation/Status Flag For Federal appropriations  grants and contracts (F0001_F3),State and local appropriations  grants and contracts (F0001_F3),Imputation/Status Flag For State and local appropriations  grants and contracts (F0001_F3),Private grants and contracts (F0001_F3),Imputation/Status Flag For Private grants and contracts (F0001_F3),Investment income and investment gains (losses) included in net income (F0001_F3),Imputation/Status Flag For Investment income and investment gains (losses) included in net income (F0001_F3),Sales and services of educational activities (F0001_F3),Imputation/Status Flag For Sales and services of educational activities (F0001_F3),Sales and services of auxiliary enterprises (F0001_F3),Imputation/Status Flag For Sales and services of auxiliary enterprises (F0001_F3),Other revenue (F0001_F3),Imputation/Status Flag For Other revenue (F0001_F3),Total revenues and investment return (F0001_F3),Imputation/Status Flag For Total revenues and investment return (F0001_F3)
208062,A'ARTS COLLEGE OF BEAUTY,302881,P,0,P,0,P,0,P,112,P,119655,P,0,P,-11571,P,411077,P
436526,A.B.I. School of Barbering & Cosmetology of Chelsea Inc.,219790,P,71575,P,19374,P,0,P,0,P,3972,P,823,P,0,P,315534,P
419378,A1 Business and Technical College,252909,R,0,R,0,R,0,R,0,R,44708,R,0,R,1428024,R,1725641,R
161615,Aaron's Academy of Beauty,200340,R,0,Z,0,Z,0,Z,0,Z,95095,R,0,Z,0,R,295435,R
176497,Abbott Academy of Cosmetology Arts and Sciences LLC,370486,N,0,N,0,N,0,N,0,N,18755,N,0,N,-180935,N,208306,N
106281,ABC Beauty College Inc,114069,R,0,Z,0,Z,0,Z,0,Z,45220,R,0,Z,32466,R,191755,R
421896,Academia Serrant Inc,374782,R,64956,R,2132,R,0,R,0,R,0,R,0,R,238977,R,680847,R
429003,Academia Vocational Del Turabo,404730,R,0,Z,0,Z,0,Z,0,Z,0,Z,0,Z,0,R,404730,R
172866,Academy College,2037371,R,161859,R,187455,R,2000,R,20893,R,203381,R,107373,R,0,R,2720332,R
108232,Academy of Art University,73404321,R,0,R,0,R,0,R,555729,R,0,R,6300671,R,336069,R,80596790,R
